datetimeobject,epochmilli,STUSPS,positiveRate,deathRate
2020-01-30,1580342400000,PR,0.0,0.0
2020-01-31,1580428800000,AL,0.0,0.0
2020-01-31,1580428800000,AK,0.0,0.0
2020-01-31,1580428800000,AZ,0.013738684990775159,0.0
2020-01-31,1580428800000,AR,0.0,0.0
2020-01-31,1580428800000,CA,0.0075925872356004875,0.0
2020-01-31,1580428800000,CO,0.0,0.0
2020-01-31,1580428800000,CT,0.0,0.0
2020-01-31,1580428800000,DE,0.0,0.0
2020-01-31,1580428800000,DC,0.0,0.0
2020-01-31,1580428800000,FL,0.0,0.0
2020-01-31,1580428800000,GA,0.0,0.0
2020-01-31,1580428800000,HI,0.0,0.0
2020-01-31,1580428800000,ID,0.0,0.0
2020-01-31,1580428800000,IL,0.01578305122839093,0.0
2020-01-31,1580428800000,IN,0.0,0.0
2020-01-31,1580428800000,IA,0.0,0.0
2020-01-31,1580428800000,KS,0.0,0.0
2020-01-31,1580428800000,KY,0.0,0.0
2020-01-31,1580428800000,LA,0.0,0.0
2020-01-31,1580428800000,ME,0.0,0.0
2020-01-31,1580428800000,MD,0.0,0.0
2020-01-31,1580428800000,MA,0.0,0.0
2020-01-31,1580428800000,MI,0.0,0.0
2020-01-31,1580428800000,MN,0.0,0.0
2020-01-31,1580428800000,MS,0.0,0.0
2020-01-31,1580428800000,MO,0.0,0.0
2020-01-31,1580428800000,MT,0.0,0.0
2020-01-31,1580428800000,NE,0.0,0.0
2020-01-31,1580428800000,NV,0.0,0.0
2020-01-31,1580428800000,NH,0.0,0.0
2020-01-31,1580428800000,NJ,0.0,0.0
2020-01-31,1580428800000,NM,0.0,0.0
2020-01-31,1580428800000,NY,0.0,0.0
2020-01-31,1580428800000,NC,0.0,0.0
2020-01-31,1580428800000,ND,0.0,0.0
2020-01-31,1580428800000,OH,0.0,0.0
2020-01-31,1580428800000,OK,0.0,0.0
2020-01-31,1580428800000,OR,0.0,0.0
2020-01-31,1580428800000,PA,0.0,0.0
2020-01-31,1580428800000,RI,0.0,0.0
2020-01-31,1580428800000,SC,0.0,0.0
2020-01-31,1580428800000,SD,0.0,0.0
2020-01-31,1580428800000,TN,0.0,0.0
2020-01-31,1580428800000,TX,0.0,0.0
2020-01-31,1580428800000,UT,0.0,0.0
2020-01-31,1580428800000,VT,0.0,0.0
2020-01-31,1580428800000,VA,0.0,0.0
2020-01-31,1580428800000,WA,0.0,0.0
2020-01-31,1580428800000,WV,0.0,0.0
2020-01-31,1580428800000,WI,0.0,0.0
2020-01-31,1580428800000,WY,0.0,0.0
2020-01-31,1580428800000,PR,0.0,0.0
2020-02-01,1580515200000,AL,0.0,0.0
2020-02-01,1580515200000,AK,0.0,0.0
2020-02-01,1580515200000,AZ,0.013738684990775159,0.0
2020-02-01,1580515200000,AR,0.0,0.0
2020-02-01,1580515200000,CA,0.0075925872356004875,0.0
2020-02-01,1580515200000,CO,0.0,0.0
2020-02-01,1580515200000,CT,0.0,0.0
2020-02-01,1580515200000,DE,0.0,0.0
2020-02-01,1580515200000,DC,0.0,0.0
2020-02-01,1580515200000,FL,0.0,0.0
2020-02-01,1580515200000,GA,0.0,0.0
2020-02-01,1580515200000,HI,0.0,0.0
2020-02-01,1580515200000,ID,0.0,0.0
2020-02-01,1580515200000,IL,0.01578305122839093,0.0
2020-02-01,1580515200000,IN,0.0,0.0
2020-02-01,1580515200000,IA,0.0,0.0
2020-02-01,1580515200000,KS,0.0,0.0
2020-02-01,1580515200000,KY,0.0,0.0
2020-02-01,1580515200000,LA,0.0,0.0
2020-02-01,1580515200000,ME,0.0,0.0
2020-02-01,1580515200000,MD,0.0,0.0
2020-02-01,1580515200000,MA,0.014508517442792551,0.0
2020-02-01,1580515200000,MI,0.0,0.0
2020-02-01,1580515200000,MN,0.0,0.0
2020-02-01,1580515200000,MS,0.0,0.0
2020-02-01,1580515200000,MO,0.0,0.0
2020-02-01,1580515200000,MT,0.0,0.0
2020-02-01,1580515200000,NE,0.0,0.0
