datetimeobject,epochmilli,STUSPS,COUNTYGEOID,positiveIncrease,positiveCumulative,deathIncrease,deathCumulative,positiveRate,deathRate,positiveIncreaseRate,deathIncreaseRate,ndays
2020-10-08,1602115200000,DC,11001,113.0,15765.0,3.0,634.0,2233.79700148353,89.83363773806269,16.01135814574303,0.4250803047542398,260
2020-10-09,1602201600000,DC,11001,78.0,15843.0,0.0,634.0,2244.8490894071406,89.83363773806269,11.052087923610236,0.0,261
2020-10-10,1602288000000,DC,11001,75.0,15918.0,2.0,636.0,2255.4760970259968,90.11702460789884,10.627007618855997,0.28338686983615985,262
2020-10-11,1602374400000,DC,11001,66.0,15984.0,1.0,637.0,2264.82786373059,90.25871804281692,9.351766704593276,0.14169343491807992,263
2020-10-12,1602460800000,DC,11001,38.0,16022.0,0.0,637.0,2270.212214257477,90.25871804281692,5.3843505268870375,0.0,264
2020-10-13,1602547200000,DC,11001,46.0,16068.0,0.0,637.0,2276.7301122637086,90.25871804281692,6.517898006231677,0.0,265
2020-10-14,1602633600000,DC,11001,64.0,16132.0,1.0,638.0,2285.7984920984654,90.40041147773499,9.068379834757115,0.14169343491807992,266
2020-10-15,1602720000000,DC,11001,34.0,16166.0,0.0,638.0,2290.6160688856803,90.40041147773499,4.817576787214718,0.0,267
2020-10-16,1602806400000,DC,11001,89.0,16255.0,3.0,641.0,2303.2267845933893,90.82549178248924,12.610715707709113,0.4250803047542398,268
2020-10-17,1602892800000,DC,11001,79.0,16334.0,0.0,641.0,2314.4205659519175,90.82549178248924,11.193781358528316,0.0,269
2020-10-18,1602979200000,DC,11001,36.0,16370.0,0.0,641.0,2319.5215296089686,90.82549178248924,5.100963657050878,0.0,270
2020-10-19,1603065600000,DC,11001,25.0,16395.0,0.0,641.0,2323.063865481921,90.82549178248924,3.5423358729519983,0.0,271
2020-10-20,1603152000000,DC,11001,50.0,16445.0,1.0,642.0,2330.148537227825,90.96718521740732,7.0846717459039965,0.14169343491807992,272
2020-10-21,1603238400000,DC,11001,53.0,16498.0,0.0,642.0,2337.6582892784827,90.96718521740732,7.5097520506582365,0.0,273
2020-10-22,1603324800000,DC,11001,39.0,16537.0,0.0,642.0,2343.184333240288,90.96718521740732,5.526043961805118,0.0,274
2020-10-23,1603411200000,DC,11001,72.0,16609.0,0.0,642.0,2353.38626055439,90.96718521740732,10.201927314101756,0.0,275
2020-10-24,1603497600000,DC,11001,97.0,16706.0,0.0,642.0,2367.1305237414435,90.96718521740732,13.744263187053754,0.0,276
2020-10-25,1603584000000,DC,11001,61.0,16767.0,0.0,642.0,2375.7738232714464,90.96718521740732,8.643299530002878,0.0,277
2020-10-26,1603670400000,DC,11001,45.0,16812.0,0.0,642.0,2382.1500278427598,90.96718521740732,6.376204571313597,0.0,278
2020-10-27,1603756800000,DC,11001,94.0,16906.0,2.0,644.0,2395.4692107250594,91.25057208724348,13.319182882299513,0.28338686983615985,279
2020-10-28,1603843200000,DC,11001,67.0,16973.0,0.0,644.0,2404.962670864571,91.25057208724348,9.493460139511356,0.0,280
2020-10-29,1603929600000,DC,11001,101.0,17074.0,1.0,645.0,2419.273707791297,91.39226552216157,14.311036926726073,0.14169343491807992,281
2020-10-30,1604016000000,DC,11001,70.0,17144.0,1.0,646.0,2429.1922482355626,91.53395895707965,9.918540444265595,0.14169343491807992,282
2020-10-31,1604102400000,DC,11001,122.0,17266.0,0.0,646.0,2446.4788472955684,91.53395895707965,17.286599060005756,0.0,283
2020-11-01,1604188800000,DC,11001,103.0,17369.0,0.0,646.0,2461.07327109213,91.53395895707965,14.594423796562234,0.0,284
2020-11-02,1604275200000,DC,11001,69.0,17438.0,1.0,647.0,2470.850118101478,91.67565239199772,9.776847009347517,0.14169343491807992,285
2020-11-03,1604361600000,DC,11001,86.0,17524.0,0.0,647.0,2483.0357535044327,91.67565239199772,12.185635402954876,0.0,286
2020-11-04,1604448000000,DC,11001,77.0,17601.0,0.0,647.0,2493.946147993125,91.67565239199772,10.910394488692155,0.0,287
2020-11-05,1604534400000,DC,11001,81.0,17682.0,3.0,650.0,2505.4233162214896,92.10073269675196,11.477168228364475,0.4250803047542398,288
2020-11-06,1604620800000,DC,11001,110.0,17792.0,2.0,652.0,2521.0095940624783,92.38411956658811,15.586277840988794,0.28338686983615985,289
2020-11-07,1604707200000,DC,11001,99.0,17891.0,2.0,654.0,2535.037244119368,92.66750643642429,14.027650056889915,0.28338686983615985,290
