STUSPS,COUNTYGEOID,Population,riskType,risk
FL,12109,190039,Total Kidney (hazard quotient),0.001478752597739
FL,12111,277789,Total Kidney (hazard quotient),0.000927773702257
FL,12113,151372,Total Kidney (hazard quotient),0.001814088610166
FL,12115,379448,Total Kidney (hazard quotient),0.001536981651047
FL,12117,422718,Total Kidney (hazard quotient),0.002111856518158
FL,12119,93420,Total Kidney (hazard quotient),0.001283802987393
FL,12121,41551,Total Kidney (hazard quotient),0.001108504199851
FL,12123,22566,Total Kidney (hazard quotient),0.001422454857174
FL,12125,15535,Total Kidney (hazard quotient),0.001126261132507
FL,12127,494593,Total Kidney (hazard quotient),0.001491916532452
FL,12129,30776,Total Kidney (hazard quotient),0.001176324260243
FL,12131,55043,Total Kidney (hazard quotient),0.001385121907059
FL,12133,24896,Total Kidney (hazard quotient),0.001492019964338
GA,13001,18236,Total Kidney (hazard quotient),0.0019863507356
GA,13003,8375,Total Kidney (hazard quotient),0.001839058862086
GA,13005,11096,Total Kidney (hazard quotient),0.001954832974305
GA,13007,3451,Total Kidney (hazard quotient),0.001609188059688
GA,13009,45720,Total Kidney (hazard quotient),0.005118985639578
GA,13011,18395,Total Kidney (hazard quotient),0.004544329204218
GA,13013,69367,Total Kidney (hazard quotient),0.006445847847052
GA,13015,100157,Total Kidney (hazard quotient),0.006912350171467
GA,13017,17634,Total Kidney (hazard quotient),0.003319969821297
GA,13019,19286,Total Kidney (hazard quotient),0.002587720637383
GA,13021,155538,Total Kidney (hazard quotient),0.005624488363941
GA,13023,13063,Total Kidney (hazard quotient),0.003612419928815
GA,13025,18411,Total Kidney (hazard quotient),0.001631870358442
GA,13027,16243,Total Kidney (hazard quotient),0.001866872598881
GA,13029,30233,Total Kidney (hazard quotient),0.00283608936606
GA,13031,70217,Total Kidney (hazard quotient),0.003188333489908
GA,13033,23316,Total Kidney (hazard quotient),0.003871643407295
GA,13035,23655,Total Kidney (hazard quotient),0.005870240782162
GA,13037,6694,Total Kidney (hazard quotient),0.00190725162948
GA,13039,50513,Total Kidney (hazard quotient),0.001869609844431
GA,13043,10998,Total Kidney (hazard quotient),0.002459903871178
GA,13045,110527,Total Kidney (hazard quotient),0.004885207719462
GA,13047,63942,Total Kidney (hazard quotient),0.008348501961361
GA,13049,12171,Total Kidney (hazard quotient),0.001635132773147
GA,13051,265128,Total Kidney (hazard quotient),0.008116783213826
GA,13053,11267,Total Kidney (hazard quotient),0.00323505236153
GA,13055,26007,Total Kidney (hazard quotient),0.004180260935572
GA,13057,214346,Total Kidney (hazard quotient),0.007466199438065
GA,13059,116714,Total Kidney (hazard quotient),0.007416341004121
GA,13061,3183,Total Kidney (hazard quotient),0.002224768547795
GA,13063,259424,Total Kidney (hazard quotient),0.013679195732928
GA,13065,6792,Total Kidney (hazard quotient),0.001864203104345
GA,13067,688078,Total Kidney (hazard quotient),0.014077135411632
GA,13069,42356,Total Kidney (hazard quotient),0.003226258015366
GA,13071,45498,Total Kidney (hazard quotient),0.002118958055678
